bank,review,rating,date,source,cleaned
CBE,this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Google Play,this is absolute trash why because its not woking most time the servers are down even though im using 4g data internet they steal not working they use to work with out even data package now its trash cant even send money
CBE,Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Google Play,bayeee galatooma kana caalati nu gammachisa
CBE,Good !,5,2025-11-08,Google Play,good
CBE,i like it,5,2025-11-08,Google Play,i like it
CBE,Very nice app,5,2025-11-08,Google Play,very nice app
CBE,the app is not functional this week.,4,2025-11-08,Google Play,the app is not functional this week
CBE,very updated bank,5,2025-11-06,Google Play,very updated bank
CBE,tankyu,5,2025-11-05,Google Play,tankyu
CBE,Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Google Play,numbers 2 and 3 dont write during pin verification
CBE,"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Google Play,once it is uninstalled you need to visit a nearby bank you go there and they ask you to have a new sim card which hasnt been used before so you should buy a new sim card and you go back to them with a new sim card when you reach there service provider says authentication pin is not arrive the system is not working come back tomorrow
CBE,loved it,5,2025-11-05,Google Play,loved it
CBE,this app is not working on my phone,5,2025-11-03,Google Play,this app is not working on my phone
CBE,CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Google Play,cbe needs to show transaction fees before the transaction is confirmed and not after this is a big issue as fees are no longer insignificant
CBE,"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Google Play,after the recent updates i am unable to download a receipt i cant see the names of account holders ive previously transacted with very important please fix it asap
CBE,wow 😘😘😘,4,2025-11-02,Google Play,wow
CBE,mobile banking broblem,5,2025-11-01,Google Play,mobile banking broblem
CBE,good job,5,2025-11-01,Google Play,good job
CBE,it is a good and clear apps to use,4,2025-10-31,Google Play,it is a good and clear apps to use
CBE,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Google Play,5 11
CBE,I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Google Play,i love this app bc every option in the app very clear and supportive
CBE,niiceh,5,2025-10-29,Google Play,niiceh
CBE,the app is good but their is no dark mode you have to add it,3,2025-10-29,Google Play,the app is good but their is no dark mode you have to add it
CBE,🤮,1,2025-10-29,Google Play,
CBE,abdulakim abrahim elemoo,5,2025-10-29,Google Play,abdulakim abrahim elemoo
CBE,strong,5,2025-10-28,Google Play,strong
CBE,Abebaw Zenebe,5,2025-10-28,Google Play,abebaw zenebe
CBE,good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,Google Play,good i love it keep it up but if we had a new update that will be fire soo good
CBE,Cbe,5,2025-10-27,Google Play,cbe
CBE,Active and granted system,5,2025-10-27,Google Play,active and granted system
CBE,fast app,4,2025-10-27,Google Play,fast app
