,rating,review_length
count,1266.0,1235.0
mean,3.684834123222749,38.7748987854251
std,1.7307378798728537,52.080627414753586
min,1.0,2.0
25%,1.0,8.0
50%,5.0,18.0
75%,5.0,45.0
max,5.0,329.0
