bank,review,rating,date,source,cleaned,sentiment,theme
CBE,I am not able to transfer. The app is not responding,1,2025-11-11,Google Play,able transfer app respond,POSITIVE,Other
CBE,Very convenient App,5,2025-11-11,Google Play,convenient App,POSITIVE,Other
CBE,excellent but sometimes can not connect,5,2025-11-10,Google Play,excellent connect,POSITIVE,Other
CBE,wow apk,5,2025-11-10,Google Play,wow apk,POSITIVE,Other
CBE,best 100 %,5,2025-11-10,Google Play,good,POSITIVE,Other
CBE,bad app,1,2025-11-10,Google Play,bad app,NEGATIVE,Other
CBE,best app,5,2025-11-10,Google Play,good app,POSITIVE,Other
CBE,nice app,5,2025-11-10,Google Play,nice app,POSITIVE,Other
CBE,the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Google Play,app constantly glitch will stop load despite have decent connection clear cache telebirr way well,NEGATIVE,Other
CBE,I can't access it properly I think it needs update,1,2025-11-10,Google Play,access properly think need update,POSITIVE,Account Access Issues
CBE,👌👌,5,2025-11-10,Google Play,,POSITIVE,Other
CBE,best 👌,5,2025-11-10,Google Play,good,POSITIVE,Other
CBE,not Refresh,2,2025-11-10,Google Play,refresh,POSITIVE,Other
CBE,your statement is not used as wanted,1,2025-11-10,Google Play,statement want,POSITIVE,Other
CBE,good very good,5,2025-11-09,Google Play,good good,POSITIVE,Other
CBE,this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Google Play,absolute trash Woking time server g datum internet steal work use work data package trash send money,NEGATIVE,Other
CBE,Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Google Play,Bayeee galatooma kana caalati nu gammachisa,NEGATIVE,Other
CBE,Good !,5,2025-11-08,Google Play,good,POSITIVE,Other
CBE,i like it,5,2025-11-08,Google Play,like,POSITIVE,Other
CBE,Very nice app,5,2025-11-08,Google Play,nice app,POSITIVE,Other
CBE,the app is not functional this week.,4,2025-11-08,Google Play,app functional week,POSITIVE,Other
